2026-05-08 20:23:11 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 20:39:34 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 20:39:34 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-05-08 20:39:34 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 20:40:14 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 20:40:14 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-05-08 20:40:14 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 20:41:05 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 20:41:05 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-05-08 20:41:05 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 20:41:05 | INFO     | bot.orders | Order request summary: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-05-08 20:41:05 | INFO     | bot.client | Placing order — request params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'newOrderRespType': 'RESULT'}
2026-05-08 20:41:06 | DEBUG    | bot.client | Response: {'orderId': 13120969977, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'uJbo3uZYlcpugon9BeWEJp', 'price': '0.00', 'avgPrice': '79958.600000', 'origQty': '0.0010', 'executedQty': '0.0010', 'cumQty': '0.0010', 'cumQuote': '79.958600', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778253066212}
2026-05-08 20:41:06 | INFO     | bot.client | Order response: {'orderId': 13120969977, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'uJbo3uZYlcpugon9BeWEJp', 'price': '0.00', 'avgPrice': '79958.600000', 'origQty': '0.0010', 'executedQty': '0.0010', 'cumQty': '0.0010', 'cumQuote': '79.958600', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1778253066212}
2026-05-08 20:41:06 | INFO     | __main__ | Order placed successfully — orderId: 13120969977
2026-05-08 20:51:53 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 20:51:53 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-05-08 20:51:53 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 20:51:53 | INFO     | bot.orders | Order request summary: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-05-08 20:51:53 | INFO     | bot.client | Placing order — request params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'newOrderRespType': 'RESULT'}
2026-05-08 20:58:24 | INFO     | root | Logging initialised — file: logs/trading_bot.log
2026-05-08 20:58:24 | INFO     | __main__ | CLI invoked — symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop_price=None
2026-05-08 20:58:24 | INFO     | bot.client | BinanceFuturesClient initialised — base URL: https://demo-fapi.binance.com
2026-05-08 20:58:24 | INFO     | bot.orders | Order request summary: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-05-08 20:58:24 | INFO     | bot.client | Placing order — request params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'newOrderRespType': 'RESULT'}
